"id";"student_id";"course_id";"status";"enrollment_date";"created_at";"updated_at";"deleted_at"
242;251;31;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
243;252;31;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
244;253;31;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
245;254;30;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
246;255;31;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
247;256;31;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
248;257;31;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
249;258;33;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
250;259;34;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
251;260;32;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
252;261;34;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
253;262;32;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
254;263;34;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
255;264;32;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
256;265;30;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
257;266;11;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
258;267;23;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
259;268;30;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
260;269;46;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
261;270;31;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
262;271;34;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
263;272;34;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
264;273;34;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
265;274;30;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
266;275;33;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
267;276;33;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
268;277;33;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
269;278;33;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
270;279;33;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
271;280;33;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
272;281;33;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
273;282;33;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
274;283;33;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
275;284;33;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
276;285;33;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
277;286;33;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
278;287;32;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
279;99;45;"pending";"2025-12-05";"2025-12-05 19:28:23";"2025-12-15 21:52:33";""
280;128;16;"pending";"2025-12-05";"2025-12-05 19:28:23";"2025-12-15 21:52:33";""
281;159;22;"pending";"2025-12-05";"2025-12-05 19:28:23";"2025-12-15 21:52:33";""
282;157;48;"pending";"2025-12-05";"2025-12-05 19:31:35";"2025-12-15 21:52:33";""
283;164;49;"pending";"2025-12-05";"2025-12-05 19:31:35";"2025-12-15 21:52:33";""
284;238;50;"pending";"2025-12-05";"2025-12-05 19:31:35";"2025-12-15 21:52:33";""
285;246;30;"pending";"2025-12-05";"2025-12-05 19:31:35";"2025-12-15 21:52:33";""
286;237;46;"pending";"2025-12-05";"2025-12-05 19:41:22";"2025-12-15 21:52:33";""
287;288;1;"pending";"2025-12-13";"2025-12-13 10:22:00";"2025-12-13 10:22:00";""
